index,belongs_to_collection,count,mean,sum
1153,St. Trinian's Collection,0,,0.0
1156,Star Crash Collection,0,,0.0
1173,Street Fighter Collection,0,,0.0
1599,Vi hade i alla fall tur med vädret Collection,0,,0.0
1136,Snake Eater Collection,0,,0.0
1688,Параграф 78 - Дилогия,0,,0.0
1189,Swordsman Collection,0,,0.0
1606,Walking Tall Original Collection,0,,0.0
1107,Shin Chan Collection,0,,0.0
1109,Short Peace,0,,0.0
1112,Sides of the Bed,0,,0.0
1113,"Signed, Sealed, Delivered",0,,0.0
1155,Stakeout Collection,0,,0.0
1604,Waldemar Daninsky Collection,0,,0.0
1581,Unstable Fables Collection,0,,0.0
1117,Simon Brenner Collection,0,,0.0
1682,Горько! (Коллекция),0,,0.0
1184,Superman / Batman (Animated) Collection,0,,0.0
1183,Superman (DC Universe Animated) Collection,0,,0.0
1123,Sissi Collection,0,,0.0
1602,Vääpeli Körmy - Collection,0,,0.0
1126,Six Swedes Collection,0,,0.0
1127,Skeleton Key Collection,0,,0.0
1180,Super Giant Collection,0,,0.0
1179,Sunes samtliga Resor,0,,0.0
1128,Ski School Collection,0,,0.0
1178,Sugata Sanshirō Collection,0,,0.0
1130,Slayers - Movie Collection,0,,0.0
1131,Sleepaway Camp Collection,0,,0.0
1177,Subspecies Collection,0,,0.0
1684,Зимняя Вишня (трилогия),0,,0.0
1582,Ur kärlekens språk,0,,0.0
1133,Slime City Collection,0,,0.0
1573,Umizaru Collection,0,,0.0
1495,The Underdog Knight Collection,0,,0.0
1212,Teen Titans Collection,0,,0.0
1643,Witchcraft Collection,0,,0.0
1646,Wodehouse P.G. Collection,0,,0.0
1523,Three Colors Collection,0,,0.0
1522,Thou Shalt Laugh Collection,0,,0.0
1389,The Lost Skeleton Collection,0,,0.0
1390,The Love Comes Softly Collection,0,,0.0
1391,The Magick Lantern Cycle,0,,0.0
1395,The Man from Earth Collection,0,,0.0
1396,The Man from U.N.C.L.E. Collection,0,,0.0
1398,The Mangler Collection,0,,0.0
1400,The Mark Collection,0,,0.0
1645,Wizards of Waverly Place Collection,0,,0.0
1517,Thermae Romae Collection,0,,0.0
1386,The Lone Ranger (Clayton Moore) Collection,0,,0.0
1409,The Modesty Blaise Collection,0,,0.0
1410,The Moment After Collection,0,,0.0
1411,The Monkey King Collection,0,,0.0
1412,The Mummy (Hammer Series),0,,0.0
1413,The Mummy (Universal Series),0,,0.0
1416,The Musketeers Collection,0,,0.0
1417,The Nancy Drew Collection (Bonita Granville),0,,0.0
1639,Winnie-the-Pooh (Russian),0,,0.0
1516,The Yes Men Collection,0,,0.0
1419,The Nigger Charley Collection,0,,0.0
1420,The Nut Job Collection,0,,0.0
1525,Three Steps Above Heaven Collection,0,,0.0
1526,Thumbs! Collection,0,,0.0
1515,The Yakuza Papers Collection,0,,0.0
1539,Tomie Collection,0,,0.0
